Date,Temperature_C,Humidity_%,CO2_ppm,GrowthRate_cm_per_day,Length_cm,Weight_g,Ammonia_ppm
2024-06-01,26.75,62.99,455.88,0.122,0.122,0.0,6.6
2024-06-02,25.79,66.12,420.65,0.136,0.2581,0.001,4.08
2024-06-03,26.97,65.06,462.25,0.1469,0.405,0.001,4.62
2024-06-04,28.28,65.49,398.92,0.1806,0.5856,0.003,3.81
2024-06-05,25.65,61.13,480.87,0.0803,0.6659,0.004,3.72
2024-06-06,25.65,65.12,464.18,0.121,0.7869,0.006,3.27
2024-06-07,28.37,67.49,457.68,0.1994,0.9863,0.01,5.68
2024-06-08,27.15,72.26,479.48,0.2216,1.2079,0.015,5.35
2024-06-09,25.3,69.8,499.96,0.1589,1.3668,0.02,3.05
2024-06-10,26.81,75.77,480.43,0.2499,1.6167,0.029,5.26
2024-06-11,25.3,61.16,394.77,0.078,1.6947,0.032,5.81
2024-06-12,25.3,69.36,411.61,0.1591,1.8538,0.039,7.27
2024-06-13,26.36,65.92,431.26,0.1449,1.9986,0.046,6.15
2024-06-14,23.13,75.95,450.78,0.1796,2.1782,0.055,5.12
2024-06-15,23.41,60.96,465.53,0.05,2.2282,0.058,4.42
2024-06-16,25.16,60.8,428.23,0.0697,2.2979,0.062,6.02
2024-06-17,24.48,62.0,455.6,0.0669,2.3648,0.066,6.74
2024-06-18,26.47,54.38,427.34,0.05,2.4148,0.07,6.27
2024-06-19,24.64,62.37,431.65,0.0749,2.4897,0.074,5.2
2024-06-20,23.88,61.2,407.8,0.05,2.5397,0.078,5.62
2024-06-21,28.2,65.75,422.3,0.1804,2.72,0.09,3.4
2024-06-22,25.66,66.71,409.45,0.1398,2.8599,0.101,5.68
2024-06-23,26.1,74.38,420.72,0.2248,3.0847,0.119,6.67
2024-06-24,23.86,69.75,481.61,0.1307,3.2154,0.131,4.92
2024-06-25,25.18,62.12,421.52,0.0837,3.2991,0.138,5.15
2024-06-26,26.17,60.51,528.97,0.082,3.3811,0.146,6.45
2024-06-27,24.27,67.46,464.8,0.1168,3.4979,0.157,5.0
2024-06-28,26.56,58.4,455.55,0.0725,3.5704,0.164,6.95
2024-06-29,25.1,74.16,424.25,0.2023,3.7727,0.186,5.43
2024-06-30,25.56,70.9,471.01,0.1767,3.9494,0.205,6.25
2024-07-01,25.1,62.65,432.73,0.0869,4.0363,0.215,4.54
2024-07-02,28.78,56.43,453.66,0.0972,4.1335,0.227,5.62
2024-07-03,25.98,71.77,526.8,0.1909,4.3244,0.251,7.02
2024-07-04,24.41,64.43,447.12,0.0902,4.4146,0.262,3.41
2024-07-05,27.23,71.19,484.48,0.2123,4.627,0.291,6.71
2024-07-06,24.17,57.03,428.9,0.05,4.677,0.298,2.49
2024-07-07,26.31,62.0,448.95,0.1038,4.7808,0.313,4.84
2024-07-08,23.06,65.03,503.12,0.0663,4.8471,0.322,5.76
2024-07-09,24.01,65.23,431.19,0.0909,4.9381,0.336,4.3
2024-07-10,26.3,62.75,504.37,0.1082,5.0463,0.352,5.35
2024-07-11,27.11,68.11,471.23,0.1797,5.226,0.38,6.52
2024-07-12,26.26,59.66,433.13,0.0801,5.3061,0.393,5.35
2024-07-13,25.83,64.29,468.97,0.116,5.4221,0.412,2.64
2024-07-14,25.55,65.6,479.18,0.123,5.5451,0.433,5.96
2024-07-15,23.78,67.57,468.65,0.1079,5.653,0.452,6.24
2024-07-16,24.92,68.56,402.89,0.1438,5.7969,0.478,5.14
2024-07-17,25.31,59.38,428.19,0.0585,5.8554,0.488,4.97
2024-07-18,27.59,57.33,442.57,0.0829,5.9383,0.504,5.06
2024-07-19,26.52,71.39,447.77,0.2018,6.1401,0.542,3.05
2024-07-20,23.36,66.66,468.62,0.0903,6.2304,0.56,4.53
2024-07-21,26.49,61.26,455.33,0.0995,6.3299,0.58,7.04
2024-07-22,25.42,72.76,409.94,0.1955,6.5254,0.62,6.27
2024-07-23,24.98,65.58,461.41,0.1124,6.6378,0.643,5.83
2024-07-24,26.92,70.9,468.32,0.2039,6.8417,0.688,4.48
2024-07-25,27.55,65.34,466.79,0.161,7.0027,0.724,4.6
2024-07-26,27.4,75.3,482.42,0.25,7.2527,0.782,5.72
2024-07-27,24.74,73.78,475.02,0.1888,7.4415,0.827,5.13
2024-07-28,25.54,63.76,463.78,0.1051,7.5466,0.853,5.04
2024-07-29,26.5,69.86,447.9,0.1861,7.7327,0.9,4.35
2024-07-30,27.46,68.23,400.17,0.1915,7.9243,0.95,5.6
2024-07-31,25.28,71.84,462.89,0.1809,8.1052,0.998,4.15
2024-08-01,25.72,60.18,456.23,0.0734,8.1786,1.018,4.72
2024-08-02,24.34,68.43,458.15,0.1282,8.3068,1.054,6.03
2024-08-03,24.21,70.29,411.7,0.1465,8.4532,1.095,2.74
2024-08-04,27.22,56.21,417.57,0.0656,8.5188,1.114,5.5
2024-08-05,28.03,59.08,481.59,0.1074,8.6262,1.145,3.72
2024-08-06,25.89,54.8,448.81,0.05,8.6762,1.16,1.91
2024-08-07,27.51,63.65,470.45,0.1431,8.8193,1.202,3.53
2024-08-08,26.54,68.59,450.85,0.1742,8.9935,1.255,3.61
2024-08-09,25.03,72.51,450.89,0.1832,9.1767,1.312,6.12
2024-08-10,26.54,65.37,478.15,0.1406,9.3174,1.357,6.18
2024-08-11,28.31,73.14,434.52,0.25,9.5674,1.438,7.67
2024-08-12,25.95,58.1,452.88,0.0573,9.6246,1.457,4.5
2024-08-13,28.35,56.48,436.13,0.09,9.7146,1.487,4.6
2024-08-14,22.07,64.72,436.97,0.05,9.7646,1.504,4.82
2024-08-15,27.23,66.92,440.72,0.1718,9.9364,1.563,6.87
2024-08-16,26.13,64.84,456.66,0.1281,10.0646,1.607,5.82
2024-08-17,25.55,54.66,435.64,0.05,10.1146,1.625,5.04
2024-08-18,26.14,64.55,487.67,0.1239,10.2385,1.669,3.98
2024-08-19,23.02,58.48,423.16,0.05,10.2885,1.687,7.38
2024-08-20,25.67,68.35,444.39,0.1547,10.4432,1.744,3.04
2024-08-21,26.54,66.83,436.81,0.1572,10.6004,1.802,4.72
2024-08-22,28.22,60.3,493.41,0.1227,10.723,1.848,4.8
2024-08-23,25.22,62.43,455.9,0.086,10.809,1.881,5.79
2024-08-24,24.79,59.7,480.96,0.05,10.859,1.9,3.43
2024-08-25,25.25,64.69,405.43,0.1115,10.9705,1.943,6.62
2024-08-26,27.37,69.78,458.01,0.2023,11.1729,2.023,4.85
2024-08-27,26.49,60.07,476.69,0.0867,11.2596,2.058,3.83
2024-08-28,25.21,67.52,452.47,0.1367,11.3963,2.113,4.17
2024-08-29,26.77,62.35,481.96,0.1148,11.5111,2.16,4.94
2024-08-30,26.15,61.04,434.48,0.0915,11.6026,2.198,4.3
2024-08-31,27.45,64.46,492.28,0.1491,11.7517,2.261,6.05
2024-09-01,24.95,59.82,518.97,0.0512,11.8029,2.282,3.84
2024-09-02,25.51,62.23,439.11,0.0905,11.8935,2.321,5.51
2024-09-03,25.41,59.01,436.63,0.0565,11.95,2.345,7.37
2024-09-04,23.8,74.82,493.6,0.1797,12.1296,2.424,5.37
2024-09-05,26.44,65.18,497.39,0.1358,12.2654,2.484,6.2
2024-09-06,26.39,61.5,434.31,0.1011,12.3665,2.529,6.05
2024-09-07,26.01,66.07,437.39,0.139,12.5055,2.592,2.76
2024-09-08,25.65,64.44,441.55,0.1153,12.6208,2.645,6.48
2024-09-09,23.88,63.9,409.67,0.076,12.6968,2.68,4.85
2024-09-10,25.37,68.07,422.44,0.147,12.8438,2.749,6.01
2024-09-11,25.49,68.79,419.88,0.1566,13.0004,2.823,6.33
2024-09-12,24.8,62.35,426.97,0.0781,13.0784,2.86,5.56
2024-09-13,25.76,62.12,448.96,0.0939,13.1723,2.906,5.25
2024-09-14,26.61,63.62,457.03,0.1255,13.2979,2.967,3.46
2024-09-15,28.83,53.49,496.52,0.0667,13.3645,3.0,5.97
2024-09-16,26.26,57.42,420.05,0.0585,13.423,3.029,5.11
2024-09-17,26.39,71.83,479.53,0.2021,13.6251,3.13,5.57
2024-09-18,25.89,73.22,443.58,0.2078,13.8329,3.236,6.19
2024-09-19,23.12,63.75,448.52,0.0576,13.8905,3.266,3.66
2024-09-20,25.96,67.88,470.24,0.1545,14.045,3.346,6.19
2024-09-21,26.09,66.56,416.32,0.1466,14.1916,3.423,6.67
2024-09-22,29.69,80.39,461.47,0.25,14.4416,3.558,4.54
2024-09-23,25.71,70.6,454.99,0.1775,14.619,3.654,2.89
2024-09-24,26.45,64.36,464.77,0.1294,14.7484,3.726,7.53
2024-09-25,25.95,60.22,458.68,0.0782,14.8267,3.77,5.8
2024-09-26,24.25,56.97,523.66,0.05,14.8767,3.798,5.59
2024-09-27,27.71,66.02,430.87,0.1729,15.0496,3.895,5.01
2024-09-28,27.13,61.22,434.07,0.113,15.1626,3.96,4.26
2024-09-29,27.19,57.89,431.31,0.0811,15.2437,4.007,4.21
2024-09-30,24.64,61.77,433.34,0.0687,15.3124,4.047,5.16
2024-10-01,28.1,59.59,430.88,0.1165,15.4289,4.115,5.08
2024-10-02,23.9,73.44,485.67,0.168,15.5969,4.214,4.58
2024-10-03,26.88,69.41,492.62,0.1871,15.784,4.326,3.92
2024-10-04,29.29,64.96,432.88,0.1937,15.9776,4.444,5.18
2024-10-05,24.51,72.4,425.03,0.173,16.1507,4.55,3.61
2024-10-06,25.15,65.39,464.14,0.1137,16.2643,4.621,3.03
2024-10-07,26.15,60.69,433.43,0.0883,16.3526,4.676,3.27
2024-10-08,25.24,72.62,468.99,0.1876,16.5402,4.795,3.0
2024-10-09,23.67,67.69,456.09,0.1076,16.6478,4.864,5.68
2024-10-10,26.1,59.81,404.53,0.08,16.7278,4.915,4.05
2024-10-11,24.41,64.05,496.43,0.0838,16.8116,4.97,5.88
2024-10-12,26.71,60.62,503.88,0.0952,16.9068,5.032,5.41
2024-10-13,24.62,58.09,431.62,0.05,16.9568,5.065,7.04
2024-10-14,28.32,69.63,438.37,0.2209,17.1777,5.211,5.83
2024-10-15,24.83,74.55,458.58,0.199,17.3767,5.345,5.89
2024-10-16,25.52,58.01,460.03,0.05,17.4267,5.379,4.29
2024-10-17,27.22,67.81,469.76,0.1791,17.6058,5.501,2.82
2024-10-18,24.15,61.75,510.31,0.055,17.6608,5.539,5.72
2024-10-19,26.34,62.56,444.69,0.1102,17.7711,5.615,6.36
2024-10-20,27.96,62.04,426.05,0.1383,17.9093,5.712,4.47
2024-10-21,23.59,60.68,408.62,0.05,17.9593,5.747,4.34
2024-10-22,26.28,65.24,428.07,0.1366,18.0959,5.844,4.49
2024-10-23,26.39,60.85,449.01,0.0938,18.1897,5.91,4.12
2024-10-24,27.17,66.35,503.84,0.1618,18.3515,6.027,6.37
2024-10-25,24.14,64.75,434.47,0.0887,18.4401,6.091,4.79
2024-10-26,24.02,63.81,456.71,0.0756,18.5158,6.146,5.88
2024-10-27,26.78,60.46,449.51,0.0978,18.6136,6.218,5.37
2024-10-28,26.45,62.12,485.65,0.1058,18.7193,6.296,3.91
2024-10-29,26.38,68.78,525.81,0.169,18.8883,6.421,7.26
2024-10-30,26.52,67.5,434.07,0.1637,19.0521,6.544,4.73
2024-10-31,24.98,60.11,435.32,0.059,19.111,6.589,4.03
2024-11-01,26.35,65.5,481.32,0.1379,19.2489,6.694,6.69
2024-11-02,26.44,68.76,470.46,0.1728,19.4217,6.827,5.78
2024-11-03,24.93,56.65,505.4,0.05,19.4717,6.866,4.56
2024-11-04,28.8,67.72,467.52,0.2098,19.6815,7.03,3.77
2024-11-05,26.71,61.69,439.22,0.1091,19.7906,7.116,3.21
2024-11-06,24.21,67.85,467.72,0.1194,19.91,7.21,3.8
2024-11-07,26.98,61.18,483.26,0.1074,20.0174,7.296,5.49
2024-11-08,24.54,55.98,474.61,0.05,20.0674,7.336,3.9
2024-11-09,27.18,56.86,465.22,0.069,20.1364,7.392,6.2
2024-11-10,27.74,65.24,482.0,0.1631,20.2994,7.524,4.46
2024-11-11,24.77,66.3,485.08,0.1141,20.4135,7.618,5.99
2024-11-12,27.45,60.48,491.46,0.1091,20.5227,7.708,3.97
2024-11-13,26.62,68.19,469.46,0.1708,20.6935,7.849,5.16
2024-11-14,27.23,56.69,444.99,0.0693,20.7628,7.907,5.1
2024-11-15,28.85,64.67,454.4,0.1809,20.9437,8.06,4.81
2024-11-16,25.63,58.94,486.2,0.0578,21.0015,8.109,4.98
2024-11-17,24.87,61.74,425.49,0.0735,21.075,8.171,4.39
2024-11-18,24.67,65.24,461.06,0.1026,21.1776,8.259,4.8
2024-11-19,24.78,60.7,438.2,0.0606,21.2382,8.311,7.21
2024-11-20,25.88,63.08,450.86,0.1059,21.3442,8.403,5.27
2024-11-21,26.51,70.03,488.35,0.1861,21.5303,8.565,6.67
2024-11-22,26.42,62.12,455.73,0.1067,21.637,8.658,6.7
2024-11-23,27.24,69.18,451.39,0.194,21.831,8.83,5.68
2024-11-24,26.02,59.35,409.2,0.0734,21.9044,8.896,6.47
2024-11-25,28.18,67.65,472.39,0.1965,22.1009,9.072,5.58
2024-11-26,25.6,72.21,469.36,0.1907,22.2916,9.245,5.04
2024-11-27,30.08,52.64,514.9,0.0823,22.3739,9.32,4.7
2024-11-28,26.94,61.02,440.77,0.1069,22.4807,9.419,4.2
2024-11-29,24.71,67.89,456.57,0.1303,22.6111,9.539,3.98
2024-11-30,24.39,63.98,457.48,0.0848,22.6959,9.618,7.32
2024-12-01,26.72,66.86,497.32,0.1582,22.8541,9.766,5.01
2024-12-02,25.66,61.98,447.14,0.0907,22.9448,9.852,5.07
2024-12-03,27.07,65.43,458.37,0.1528,23.0976,9.997,6.14
2024-12-04,26.71,64.22,468.24,0.133,23.2306,10.124,1.56
2024-12-05,25.89,70.84,455.6,0.1834,23.4141,10.3,5.42
2024-12-06,24.73,66.27,436.61,0.1155,23.5296,10.412,5.32
2024-12-07,23.73,66.69,455.82,0.0986,23.6282,10.509,5.13
2024-12-08,25.33,62.94,482.21,0.0919,23.7201,10.599,4.31
2024-12-09,27.28,62.56,419.2,0.1304,23.8504,10.727,4.51
2024-12-10,26.32,62.84,453.99,0.1121,23.9625,10.839,6.31
2024-12-11,24.13,66.97,429.0,0.1109,24.0734,10.949,6.71
2024-12-12,26.26,62.9,485.85,0.1099,24.1833,11.059,5.83
2024-12-13,26.58,66.45,404.3,0.1558,24.3391,11.217,5.22
2024-12-14,24.67,75.38,433.23,0.2056,24.5447,11.426,5.13
2024-12-15,26.23,69.36,461.32,0.1751,24.7198,11.606,4.74
2024-12-16,26.09,63.37,496.97,0.1106,24.8304,11.721,3.64
2024-12-17,24.29,71.01,448.03,0.1534,24.9838,11.881,5.37
2024-12-18,26.54,62.96,433.34,0.1187,25.1025,12.005,4.04
2024-12-19,26.84,54.81,506.43,0.05,25.1525,12.058,2.87
2024-12-20,27.62,59.96,406.56,0.1118,25.2642,12.176,4.83
2024-12-21,27.58,55.65,384.04,0.0689,25.3331,12.249,4.43
2024-12-22,23.93,63.24,463.2,0.0679,25.401,12.322,4.62
2024-12-23,24.59,65.09,434.94,0.101,25.5021,12.43,4.63
2024-12-24,26.77,73.38,419.36,0.2283,25.7304,12.676,3.44
2024-12-25,26.77,66.63,471.25,0.1582,25.8886,12.848,4.29
2024-12-26,26.77,63.9,457.31,0.1316,26.0202,12.992,4.21
2024-12-27,31.78,69.15,433.08,0.25,26.2702,13.268,2.99
2024-12-28,26.86,53.94,411.59,0.05,26.3202,13.324,5.38
2024-12-29,27.7,66.18,476.17,0.172,26.4922,13.516,5.97
2024-12-30,27.43,68.85,469.51,0.1937,26.6859,13.735,4.71
2024-12-31,26.98,57.61,447.02,0.0733,26.7592,13.818,4.69
2025-01-01,25.53,70.72,505.4,0.1725,26.9316,14.015,4.84
2025-01-02,27.14,66.69,417.9,0.1688,27.1004,14.208,5.2
2025-01-03,24.84,62.92,404.23,0.0858,27.1863,14.308,3.55
2025-01-04,25.64,68.16,429.24,0.1531,27.3394,14.486,4.86
2025-01-05,25.27,76.35,448.63,0.2265,27.5659,14.751,4.36
2025-01-06,26.12,65.91,457.3,0.1387,27.7046,14.915,3.66
2025-01-07,29.47,66.24,442.76,0.2097,27.9143,15.164,4.69
2025-01-08,23.2,62.7,460.56,0.05,27.9643,15.224,3.81
2025-01-09,27.03,60.75,412.45,0.1075,28.0718,15.353,4.45
2025-01-10,23.58,69.15,493.31,0.1185,28.1902,15.496,5.88
2025-01-11,25.29,60.72,447.54,0.0707,28.2609,15.581,6.98
2025-01-12,27.63,65.36,483.52,0.1621,28.423,15.779,4.33
2025-01-13,26.1,62.61,460.28,0.105,28.528,15.907,3.44
2025-01-14,24.38,67.39,463.7,0.1184,28.6464,16.053,6.35
2025-01-15,24.93,66.67,467.09,0.1219,28.7683,16.204,3.69
2025-01-16,27.02,70.19,463.43,0.1991,28.9674,16.451,5.34
2025-01-17,24.9,62.45,469.28,0.0791,29.0465,16.55,5.02
2025-01-18,26.32,63.65,489.87,0.1185,29.165,16.699,5.18
2025-01-19,26.07,60.11,455.9,0.0796,29.2447,16.8,4.6
2025-01-20,25.02,62.78,471.27,0.0847,29.3293,16.907,3.38
2025-01-21,29.22,66.89,447.31,0.2108,29.5401,17.175,5.8
2025-01-22,26.95,68.78,493.2,0.1822,29.7224,17.409,4.69
2025-01-23,22.96,60.39,429.71,0.05,29.7724,17.474,3.78
2025-01-24,26.28,69.35,504.03,0.1739,29.9462,17.699,5.15
2025-01-25,25.01,71.78,448.8,0.1755,30.1217,17.928,4.04
2025-01-26,27.28,67.07,407.08,0.1759,30.2976,18.159,7.66
2025-01-27,24.81,74.38,453.84,0.1974,30.495,18.421,5.62
2025-01-28,25.83,61.13,429.57,0.0864,30.5814,18.536,3.87
2025-01-29,26.76,58.78,475.22,0.0792,30.6605,18.641,4.78
2025-01-30,27.3,56.11,430.42,0.0655,30.726,18.729,4.16
2025-01-31,24.2,72.48,436.61,0.167,30.893,18.954,3.86
2025-02-01,25.5,68.27,393.31,0.153,31.046,19.161,3.89
2025-02-02,25.29,64.72,436.43,0.1112,31.1572,19.312,4.59
2025-02-03,25.02,66.4,377.28,0.1255,31.2827,19.484,5.3
2025-02-04,28.65,59.37,402.48,0.1266,31.4093,19.657,4.91
2025-02-05,26.61,77.23,472.81,0.25,31.6593,20.003,4.53
2025-02-06,24.11,65.65,473.57,0.095,31.7542,20.136,5.38
2025-02-07,27.38,65.55,462.76,0.1599,31.9141,20.359,6.18
2025-02-08,29.18,68.63,420.99,0.2289,32.143,20.682,4.34
2025-02-09,27.55,67.41,448.57,0.1826,32.3256,20.941,6.6
2025-02-10,23.72,66.12,449.89,0.0931,32.4187,21.074,6.74
2025-02-11,25.27,61.05,415.25,0.0752,32.4939,21.182,3.82
2025-02-12,27.9,67.36,495.1,0.1868,32.6807,21.451,5.11
2025-02-13,24.94,74.41,476.32,0.1991,32.8798,21.739,4.73
2025-02-14,26.67,71.73,443.37,0.2084,33.0882,22.044,5.6
2025-02-15,27.16,72.97,450.81,0.2304,33.3186,22.383,6.87
2025-02-16,24.61,62.44,456.25,0.0738,33.3924,22.492,6.11
2025-02-17,25.91,60.05,388.75,0.0793,33.4717,22.609,4.08
2025-02-18,21.14,64.37,442.58,0.05,33.5217,22.684,5.69
2025-02-19,24.46,65.28,429.54,0.1006,33.6222,22.834,5.18
2025-02-20,25.62,70.47,419.95,0.1761,33.7984,23.098,7.26
2025-02-21,24.13,56.54,441.57,0.05,33.8484,23.173,5.14
2025-02-22,28.45,72.65,503.93,0.25,34.0984,23.551,4.6
2025-02-23,23.85,64.21,469.23,0.0757,34.1741,23.666,5.22
2025-02-24,25.34,62.87,432.86,0.0938,34.2679,23.81,4.97
2025-02-25,26.2,59.94,467.18,0.08,34.3479,23.932,3.63
2025-02-26,28.16,56.73,491.98,0.0859,34.4338,24.064,4.33
2025-02-27,23.85,69.12,477.74,0.1242,34.558,24.255,4.06
2025-02-28,27.74,65.37,451.79,0.166,34.7239,24.512,3.75
2025-03-01,26.02,58.55,430.59,0.0643,34.7882,24.612,3.61
2025-03-02,24.53,58.52,470.95,0.05,34.8382,24.69,5.22
2025-03-03,26.69,63.32,461.8,0.124,34.9622,24.884,5.11
2025-03-04,26.3,73.35,476.86,0.2156,35.1778,25.223,6.62
2025-03-05,25.1,63.7,469.06,0.0956,35.2734,25.374,3.9
2025-03-06,26.1,57.48,481.49,0.0529,35.3262,25.457,4.29
2025-03-07,25.42,63.77,433.94,0.1045,35.4307,25.623,4.41
2025-03-08,26.17,63.64,489.52,0.1153,35.546,25.807,6.97
2025-03-09,26.99,51.52,455.93,0.05,35.596,25.887,4.74
2025-03-10,28.38,64.73,512.26,0.1693,35.7652,26.159,6.65
2025-03-11,24.14,63.85,429.32,0.0799,35.8451,26.287,1.63
2025-03-12,29.2,68.48,502.08,0.2237,36.0688,26.649,3.91
2025-03-13,23.07,74.24,455.94,0.1611,36.2299,26.912,7.68
2025-03-14,25.77,70.63,430.46,0.1803,36.4101,27.207,4.31
2025-03-15,26.88,63.66,435.48,0.1324,36.5425,27.426,6.12
2025-03-16,26.42,59.47,440.39,0.0811,36.6236,27.56,3.99
2025-03-17,25.07,77.87,462.72,0.2369,36.8605,27.953,3.36
2025-03-18,25.69,65.3,465.69,0.1234,36.9839,28.16,5.58
2025-03-19,25.26,65.07,432.79,0.1143,37.0982,28.351,5.24
2025-03-20,25.12,64.88,449.27,0.1086,37.2068,28.534,5.16
2025-03-21,27.27,65.99,514.27,0.1597,37.3665,28.805,7.63
2025-03-22,26.54,64.28,501.83,0.1284,37.4949,29.023,4.13
2025-03-23,24.96,62.13,463.09,0.0774,37.5723,29.155,4.88
2025-03-24,27.35,62.27,451.14,0.1271,37.6994,29.372,6.47
2025-03-25,26.46,64.84,453.6,0.1349,37.8343,29.604,6.62
2025-03-26,27.22,62.28,468.41,0.1238,37.9581,29.817,4.26
2025-03-27,26.94,61.44,419.32,0.1123,38.0703,30.012,5.81
2025-03-28,24.76,65.53,442.28,0.1083,38.1787,30.2,5.28
2025-03-29,25.16,63.73,399.94,0.1004,38.2791,30.375,3.63
2025-03-30,27.12,72.52,461.98,0.2245,38.5036,30.768,6.08
2025-03-31,26.92,51.75,469.42,0.05,38.5536,30.856,4.75
2025-04-01,25.97,70.46,435.5,0.1822,38.7358,31.178,4.66
2025-04-02,26.18,71.23,497.22,0.191,38.9268,31.517,4.71
2025-04-03,27.92,54.63,413.23,0.064,38.9908,31.631,5.86
2025-04-04,25.11,63.29,406.07,0.0948,39.0856,31.801,2.81
2025-04-05,26.82,63.14,456.73,0.125,39.2106,32.025,5.24
2025-04-06,25.7,57.96,481.41,0.05,39.2606,32.115,4.25
2025-04-07,25.67,61.11,500.52,0.0796,39.3402,32.258,3.38
2025-04-08,27.65,59.45,436.23,0.1056,39.4458,32.449,4.32
2025-04-09,27.24,73.76,482.36,0.2383,39.684,32.882,4.76
2025-04-10,27.22,69.68,448.84,0.1987,39.8828,33.245,4.96
2025-04-11,27.96,71.36,444.82,0.2305,40.1133,33.669,3.69
2025-04-12,26.03,68.61,476.51,0.1629,40.2762,33.971,5.22
2025-04-13,27.02,59.35,469.57,0.0905,40.3667,34.139,4.66
2025-04-14,25.53,62.38,402.71,0.0943,40.461,34.315,3.31
2025-04-15,26.49,67.45,494.3,0.1595,40.6205,34.613,4.9
2025-04-16,25.8,58.89,491.4,0.0604,40.6809,34.726,5.28
2025-04-17,26.15,68.56,431.23,0.167,40.8479,35.041,3.7
2025-04-18,26.89,63.8,461.87,0.1327,40.9807,35.292,6.58
2025-04-19,24.77,63.13,464.82,0.0835,41.0641,35.45,7.02
2025-04-20,29.14,68.55,457.82,0.2254,41.2896,35.88,2.06
2025-04-21,24.49,67.22,433.49,0.1204,41.4099,36.11,4.85
2025-04-22,24.18,63.2,429.85,0.074,41.484,36.252,3.53
2025-04-23,27.74,70.8,449.23,0.2202,41.7042,36.677,3.22
2025-04-24,27.19,59.59,485.18,0.0954,41.7996,36.862,6.02
2025-04-25,26.94,68.08,466.31,0.1762,41.9759,37.205,4.67
2025-04-26,26.94,67.97,438.88,0.1766,42.1524,37.55,4.49
2025-04-27,25.98,63.45,473.15,0.1105,42.2629,37.767,5.56
2025-04-28,24.65,66.63,364.54,0.1212,42.3841,38.005,4.58
2025-04-29,26.11,58.74,484.46,0.0655,42.4496,38.135,3.16
2025-04-30,24.98,69.62,397.81,0.156,42.6056,38.444,4.41
2025-05-01,27.46,64.08,439.13,0.1481,42.7536,38.738,6.48
2025-05-02,25.78,62.39,416.41,0.0986,42.8522,38.935,4.96
2025-05-03,24.76,70.25,411.16,0.1571,43.0094,39.25,5.79
2025-05-04,25.52,61.48,484.82,0.0809,43.0903,39.413,4.76
2025-05-05,26.62,57.96,435.97,0.0702,43.1604,39.554,3.01
2025-05-06,25.15,57.22,460.4,0.05,43.2104,39.655,3.3
2025-05-07,24.77,68.03,448.59,0.1332,43.3436,39.924,5.69
2025-05-08,26.37,58.6,464.31,0.0701,43.4137,40.066,5.57
2025-05-09,26.37,73.77,452.3,0.2225,43.6362,40.519,7.2
2025-05-10,25.24,54.59,411.51,0.05,43.6862,40.622,6.25
2025-05-11,25.29,73.48,479.89,0.1967,43.8829,41.025,4.88
2025-05-12,26.35,66.06,435.19,0.1458,44.0286,41.325,6.4
2025-05-13,23.83,64.52,403.3,0.0816,44.1102,41.494,2.29
2025-05-14,23.89,62.28,437.16,0.0587,44.1689,41.616,4.05
2025-05-15,24.92,67.0,495.02,0.1237,44.2925,41.872,4.24
2025-05-16,25.68,64.81,475.51,0.1179,44.4105,42.118,2.21
2025-05-17,26.47,70.52,439.54,0.1925,44.603,42.521,5.05
2025-05-18,28.21,65.57,439.52,0.178,44.781,42.895,3.62
2025-05-19,27.29,65.75,440.35,0.1612,44.9422,43.235,4.86
2025-05-20,25.76,63.18,512.3,0.1014,45.0436,43.45,6.03
2025-05-21,25.97,64.72,461.46,0.1235,45.1671,43.713,3.8
2025-05-22,24.5,66.54,462.9,0.1122,45.2793,43.952,4.38
2025-05-23,25.97,56.45,480.91,0.05,45.3293,44.059,5.81
2025-05-24,25.57,58.26,457.16,0.0511,45.3804,44.168,3.48
2025-05-25,26.48,68.72,442.23,0.1747,45.5551,44.543,6.53
2025-05-26,24.76,65.85,444.11,0.1115,45.6666,44.783,4.93
2025-05-27,26.78,64.08,447.85,0.134,45.8006,45.073,2.98
2025-05-28,28.3,65.09,448.88,0.1745,45.9751,45.452,4.59
2025-05-29,25.84,66.74,471.83,0.1405,46.1156,45.758,6.41
2025-05-30,26.6,62.3,451.56,0.1125,46.2281,46.004,3.77
2025-05-31,27.04,61.11,471.98,0.1082,46.3363,46.241,6.02
